asin,name,brand,price_usd,weight,rating,review_count,stock,url,scraped_at
B001NNB3X6,"Mount Hagen 25 Count Single Serve Instant Decaf Coffee Packets - 4 Pack | Decaffeinated Organic Medium Roast Arabica Beans | Eco-friendly, Fair-Trade [4 x 25 sticks/1.76oz/50g]",Mount Hagen,642.70,N/A,4.6,3408,In Stock,https://www.amazon.com/Mount-Hagen-Organic-Decaffeinated-25-Count/dp/B001NNB3X6/ref=sr_1_49,2026-07-21 08:03:00
B01MAWBNWZ,"Café Bustelo, Espresso Style, Dark Roast Instant Coffee, 7.05 oz Jar",Cafe Bustelo,141.10,N/A,4.8,2538,In Stock,https://www.amazon.com/Bustelo-Espresso-Style-Instant-Coffee/dp/B01MAWBNWZ/ref=sr_1_50,2026-07-21 08:00:32
B09D8W6STQ,"Waka Instant Coffee, Medium Roast - 100% Arabica Colombian Beans, Freeze Dried Granules, No Additives - Single Serve Packets for Quick Hot and Iced Coffees (50 Individual Coffee Packets)",Waka Coffee,708.63,N/A,4.1,51,In Stock,https://www.amazon.com/coffee-parent-Count-Medium-Roast/dp/B09D8W6STQ/ref=sr_1_51,2026-07-21 08:01:39
B0D34C9GDQ,"DeLallo Instant Espresso Powder, For Baking and Drinks,100% Dark Roast Coffee, Naturally Caffeinated, Kosher, Vegan, Non-GMO, Peanut Free, 1.94 oz Jar, (3 Pack)",DeLallo,246.92,N/A,4.8,37,In Stock,https://www.amazon.com/DeLallo-Instant-Espresso-Naturally-Caffeinated/dp/B0D34C9GDQ/ref=sr_1_52,2026-07-21 08:04:40
B0111X0YPU,Nescafe Azera Americano Instant Coffee (100g) - Pack of 2,Nescafe,N/A,N/A,4.6,3084,In Stock,https://www.amazon.com/Nescafe-Azera-Americano-Instant-Coffee/dp/B0111X0YPU/ref=sr_1_54,2026-07-21 08:07:30
B01H3KK5FY,"NESCAFÉ RICH Decaffeinated,dark roast Instant Coffee 100g",Nescafe,214.12,N/A,4.3,1866,In Stock,https://www.amazon.com/NESCAF%C3%89-RICH-Decaffeinated-Instant-Coffee/dp/B01H3KK5FY/ref=sr_1_58,2026-07-21 08:09:09
B01EN6KSCQ,"SToK Bold & Smooth Black Unsweetened Cold Brew Coffee, Ready to Drink Bottled Coffee, 48 fl oz​",STOK,288.13,N/A,4.8,5125,In Stock,https://www.amazon.com/medium-Liquid-Coffee-Unsweetened-Bottle/dp/B01EN6KSCQ/ref=sr_1_59,2026-07-21 08:10:05
B0118EI242,"Nescafe Gold Blend Instant Coffee, 200g",Nescafe,N/A,N/A,4.5,590,In Stock,https://www.amazon.com/Nescafe-Gold-Blend-Coffee-200g/dp/B0118EI242/ref=sr_1_60,2026-07-21 08:10:09
B07B7QV5S6,4 Pack Old Town White Coffee 2 in 1 Coffee and Creamer,OLDTOWN WHITE,288.13,N/A,4.5,196,In Stock,https://www.amazon.com/Old-Town-Coffee-Creamer-Sachets/dp/B07B7QV5S6/ref=sr_1_62,2026-07-21 08:11:34
B006I72WF0,"Mount Hagen 3.53oz Organic Freeze Dried Instant Decaf Coffee | Eco-friendly, Fair-Trade Decaffeinated Coffee, Made From Organic Medium Roast Arabica Beans [3.53oz Jar]",Mount Hagen,148.19,N/A,4.6,1536,Out of Stock,https://www.amazon.com/Mount-Hagen-Eco-friendly-Fair-Trade-Decaffeinated/dp/B006I72WF0/ref=sr_1_63,2026-07-21 08:13:40
